"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Bettina Dorothee";"Buchta";1960;"MLPD";;"Bremen";4;
"Josef";"Buck";1961;"MLPD";275;;;
"Andreas";"Buechner";1982;"NPD";108;"Nordrhein-Westfalen";12;
"Manfred";"Bueddemann";1951;"DIE LINKE";111;;;
"Katharina";"Buedel";1951;"FDP";;"Rheinland-Pfalz";29;
"Tim";"Buehner";1978;"DIE LINKE";;"Nordrhein-Westfalen";22;
"Marco";"Buelow";1971;"SPD";143;"Nordrhein-Westfalen";55;
"Hans-Ulrich";"Buenger";1940;"DIE LINKE";285;;;
"Andreas";"Bueschleb";1972;"NPD";44;;;
"Erika-Marika";"Buesing";1964;"SPD";;"Bremen";5;
"Vesna";"Buljevic";1954;"MLPD";;"Nordrhein-Westfalen";8;
"Peter";"Bulke";1939;"REP";;"Baden-Wuerttemberg";12;
"Eva";"Bulling-Schroeter";1956;"DIE LINKE";217;"Bayern";2;
"Edelgard";"Bulmahn";1951;"SPD";43;"Niedersachsen";2;
"Andreas";"Bummel";1976;"FDP";184;"Hessen";13;
"Dr. Martina";"Bunge";1951;"DIE LINKE";12;"Mecklenburg-Vorpommern";2;
"Ursula";"Burchardt";1954;"SPD";144;"Nordrhein-Westfalen";27;
"Ernst";"Burgbacher";1949;"FDP";285;"Baden-Wuerttemberg";3;
"Dr. Thomas";"Burger";1970;"SPD";;"Bayern";53;
"Max";"Burger-Heidger";1954;"GRUENE";285;;;
"Dr. Christian";"Burholt";1972;"CDU";76;"Berlin";8;
"Karin";"Burkart";1950;"GRUENE";296;"Saarland";2;
"Boris";"Burkert";1961;"GRUENE";229;;;
"Martin";"Burkert";1964;"SPD";245;"Bayern";13;
"Karl-Heinz";"Burkhardt";1939;"DVU";;"Berlin";2;
"Franz Paul";"Burkowski";1930;"PBC";;"Bremen";4;
"Erich Karl";"Burmeister";1953;"DIE LINKE";122;;;
"Andreas";"Burmester";1978;"SPD";;"Niedersachsen";41;
"Thomas Wolfgang";"Bursian";1959;"FDP";;"Rheinland-Pfalz";24;
"Yani";"Bursukis";1945;"SPD";;"Hessen";28;
"Walter";"Busch-Huebenbecker";1951;"DIE LINKE";186;;;
"Marco";"Buschmann";1977;"FDP";124;"Nordrhein-Westfalen";20;
"Boris-Georg";"Bussche-Haddenhausen Freiherr von dem";1966;"FDP";38;"Niedersachsen";22;
"Windfried";"Bußmann";1951;"RENTNER";;"Nordrhein-Westfalen";3;
"Brigitte";"Butenschoen";1949;"MLPD";;"Niedersachsen";7;
